hour,id,count
8,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
9,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
10,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
11,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
12,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
13,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
14,7d8e5d5f50c5b2916bf84a5fa3dd19c8,2.0
15,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
16,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
17,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
18,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
19,7d8e5d5f50c5b2916bf84a5fa3dd19c8,2.0
20,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
21,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
22,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
23,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
0,7d91459a080297a1f9c79b481d5a9d08,2.0
1,7d91459a080297a1f9c79b481d5a9d08,3.0
2,7d91459a080297a1f9c79b481d5a9d08,0.0
3,7d91459a080297a1f9c79b481d5a9d08,5.0
4,7d91459a080297a1f9c79b481d5a9d08,3.0
5,7d91459a080297a1f9c79b481d5a9d08,1.0
6,7d91459a080297a1f9c79b481d5a9d08,2.0
7,7d91459a080297a1f9c79b481d5a9d08,2.0
8,7d91459a080297a1f9c79b481d5a9d08,2.0
9,7d91459a080297a1f9c79b481d5a9d08,2.0
10,7d91459a080297a1f9c79b481d5a9d08,1.0
11,7d91459a080297a1f9c79b481d5a9d08,1.0
12,7d91459a080297a1f9c79b481d5a9d08,3.0
13,7d91459a080297a1f9c79b481d5a9d08,2.0
14,7d91459a080297a1f9c79b481d5a9d08,3.0
15,7d91459a080297a1f9c79b481d5a9d08,4.0
16,7d91459a080297a1f9c79b481d5a9d08,6.0
17,7d91459a080297a1f9c79b481d5a9d08,7.0
18,7d91459a080297a1f9c79b481d5a9d08,4.0
19,7d91459a080297a1f9c79b481d5a9d08,9.0
20,7d91459a080297a1f9c79b481d5a9d08,7.0
21,7d91459a080297a1f9c79b481d5a9d08,0.0
22,7d91459a080297a1f9c79b481d5a9d08,1.0
23,7d91459a080297a1f9c79b481d5a9d08,3.0
0,7d92d86747a5b9e1740e6145093e87cd,0.0
1,7d92d86747a5b9e1740e6145093e87cd,0.0
2,7d92d86747a5b9e1740e6145093e87cd,0.0
3,7d92d86747a5b9e1740e6145093e87cd,0.0
4,7d92d86747a5b9e1740e6145093e87cd,0.0
5,7d92d86747a5b9e1740e6145093e87cd,0.0
6,7d92d86747a5b9e1740e6145093e87cd,0.0
7,7d92d86747a5b9e1740e6145093e87cd,1.0
8,7d92d86747a5b9e1740e6145093e87cd,1.0
9,7d92d86747a5b9e1740e6145093e87cd,0.0
10,7d92d86747a5b9e1740e6145093e87cd,0.0
11,7d92d86747a5b9e1740e6145093e87cd,0.0
12,7d92d86747a5b9e1740e6145093e87cd,0.0
13,7d92d86747a5b9e1740e6145093e87cd,0.0
14,7d92d86747a5b9e1740e6145093e87cd,0.0
15,7d92d86747a5b9e1740e6145093e87cd,0.0
16,7d92d86747a5b9e1740e6145093e87cd,0.0
17,7d92d86747a5b9e1740e6145093e87cd,1.0
18,7d92d86747a5b9e1740e6145093e87cd,0.0
19,7d92d86747a5b9e1740e6145093e87cd,1.0
20,7d92d86747a5b9e1740e6145093e87cd,1.0
21,7d92d86747a5b9e1740e6145093e87cd,0.0
